5,1.27
7,1.51
23,4.77
58,53.85
59,55.33
77,76.97
81,81.04
89,88.95
98,97.98
1,0.95
18,3.24
54,47.06
84,83.92
94,94.05
14,2.43
20,3.80
26,6.15
27,6.64
41,21.62
43,25.22
61,57.93
73,72.51
95,94.98
38,17.08
46,31.28
62,59.68
86,86.02
9,1.70
28,7.24
49,37.26
72,71.52
87,87.08
88,87.94
92,92.05
10,1.82
21,4.04
22,4.42
47,33.18
57,52.24
74,73.61
93,93.00
6,1.38
66,64.62
70,69.27
3,1.15
31,9.39
44,27.28
63,61.04
68,67.26
2,1.06
4,1.22
35,13.19
36,14.29
50,39.36
69,68.24
90,89.87
16,2.78
19,3.46
32,10.20
37,15.51
42,23.67
48,35.28
51,41.33
67,65.87
78,78.00
8,1.58
17,3.04
24,5.18
52,43.30
60,56.77
96,95.90
25,5.61
33,11.12
55,49.09
80,79.94
30,8.55
45,29.21
53,45.02
64,62.25
75,74.72
83,82.96
15,2.63
76,75.73
82,81.94
85,84.84
91,91.10
97,97.00
99,99.02
11,1.94
13,2.30
34,12.10
39,18.45
71,70.32
12,2.10
29,7.78
40,20.04
56,50.67
65,63.42
79,78.78
